filtered text,label
virginamerica what dhepburn said,NEUTRAL
virginamerica plus youve added commercials to the experience tacky,POSITIVE
virginamerica i didnt today must mean i need to take another trip,NEUTRAL
virginamerica its really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse,NEGATIVE
virginamerica and its a really big bad thing about it,NEGATIVE
virginamerica seriously would pay a flight for seats that didnt have this playing its really the only bad thing about flying va,NEGATIVE
virginamerica yes nearly every time i fly vx this ear worm wont go away,POSITIVE
virginamerica really missed a prime opportunity for men without hats parody there httpstcomwpggrezp,NEUTRAL
virginamerica well i didntbut now i do d,POSITIVE
virginamerica it was amazing and arrived an hour early youre too good to me,POSITIVE
virginamerica did you know that suicide is the second leading cause of death among teens,NEUTRAL
virginamerica i lt pretty graphics so much better than minimal iconography d,POSITIVE
virginamerica this is such a great deal already thinking about my nd trip to australia amp i havent even gone on my st trip yet p,POSITIVE
virginamerica virginmedia im flying your fabulous seductive skies again u take all the stress away from travel httptcoahlxhhkiyn,POSITIVE
virginamerica thanks,POSITIVE
virginamerica sfopdx schedule is still mia,NEGATIVE
virginamerica so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america daystogo,POSITIVE
virginamerica i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help,NEGATIVE
i flying virginamerica,POSITIVE
virginamerica you know what would be amazingly awesome bosfll please i want to fly with only you,POSITIVE
virginamerica why are your first fares in may over three times more than other carriers when all seats are available to select,NEGATIVE
virginamerica i love this graphic httptcoutgrrwaaa,POSITIVE
virginamerica i love the hipster innovation you are a feel good brand,POSITIVE
virginamerica will you be making bosgtlas non stop permanently anytime soon,NEUTRAL
virginamerica you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet,NEGATIVE
virginamerica status match program i applied and its been three weeks called and emailed with no response,NEGATIVE
virginamerica what happened ur vegan food options at least say on ur site so i know i wont be able eat anything for next hrs fail,NEGATIVE
virginamerica do you miss me dont worry well be together very soon,NEUTRAL
virginamerica amazing to me that we cant get any cold air from the vents vx noair worstflightever roasted sfotobos,NEGATIVE
virginamerica lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix,NEUTRAL
virginamerica hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems,NEGATIVE
virginamerica are the hours of operation for the club at sfo that are posted online current,NEUTRAL
virginamerica help left expensive headphones on flight iad to lax today seat a no one answering lampf number at lax,NEGATIVE
virginamerica awaiting my return phone call just would prefer to use your online selfservice option,NEGATIVE
virginamerica this is great news america could start flights to hawaii by end of year httptcorpzyfe via pacificbiznews,POSITIVE
nice rt virginamerica vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience httptcoyounxtqp,NEUTRAL
virginamerica moodlighting is the only way to fly best experience ever cool and calming moodlitmonday,POSITIVE
virginamerica freddieawards done and done best airline around hands down,POSITIVE
virginamerica when can i book my flight to hawaii,NEUTRAL
virginamerica your chat support is not working on your site httptcovhpgtdwpk,NEGATIVE
virginamerica view of downtown los angeles the hollywood sign and beyond that rain in the mountains httptcodwnfibtr,POSITIVE
virginamerica hey first time flyer next week excited but im having a hard time getting my flights added to my elevate account help,NEGATIVE
virginamerica plz help me win my bid upgrade for my flight laxgtsea,NEUTRAL
virginamerica i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp,NEUTRAL
virginamerica are flights leaving dallas for seattle on time feb,NEUTRAL
virginamerica im elevategold for a good reason you rock,POSITIVE
virginamerica dream httptcooadrfaoq httptcolwwdackhx,NEUTRAL
virginamerica wow this just blew my mind,POSITIVE
virginamerica ladygaga carrieunderwood after last night tribute soundofmusic oscars ladygaga i think carrieunderwood agree,NEUTRAL
virginamerica ladygaga carrieunderwood all were entertaining,NEUTRAL
virginamerica is flight on its way was supposed to take off minutes ago website still shows on time not in flight thanks,NEUTRAL
virginamerica ladygaga carrieunderwood julie andrews all the way though ladygaga was very impressive no to carrieunderwood,POSITIVE
virginamerica wish you flew out of atlanta soon,NEUTRAL
virginamerica ladygaga carrieunderwood julie andrews hands down,NEUTRAL
virginamerica will flights be leaving dallas for la on february th,NEUTRAL
virginamerica hi im so excited about your lgagtdal deal but ive been trying book since last week amp the page never loads thx,NEGATIVE
virginamerica you know it need it on my spotify stat guiltypleasures,POSITIVE
virginamerica ladygaga carrieunderwood im lady gaga she is amazing,POSITIVE
virginamerica ladygaga carrieunderwood carrie,NEUTRAL
virginamerica new marketing song httpstcoflfulcbq let us know what you think,NEUTRAL
virginamerica ladygaga carrieunderwood julie andrews first but lady gaga wowd me last night carrie meh,NEUTRAL
virginamerica i called a weeks ago about adding flights from to my elevatethey still havent shown uphelp,NEGATIVE
virginamerica ladygaga carrieunderwood all are great but i have to go with carrieunderwood,NEUTRAL
virginamerica ladygaga carrieunderwood sorry mary martin had it first,NEUTRAL
virginamerica ladygaga carrieunderwood love all three but you really cant beat the classics,POSITIVE
virginamerica flight dal to dca pm tried to check in could not status please,NEUTRAL
virginamerica heyyyy guyyyys been trying to get through for an hour can someone call me please,NEGATIVE
virginamerica hi virgin im on hold for minutes are there any earlier flights from la to nyc tonight earlier than pm,NEGATIVE
virginamerica congrats on winning the travelzoo award for best deals from an airline us httptcokjiljaebv,POSITIVE
virginamerica everything was fine until you lost my bag,NEGATIVE
virginamerica need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,NEUTRAL
virginamerica i emailed your customer service team let me know if you need the tracking number,NEUTRAL
virginamerica hi i just booked a flight but need to add baggage how can i do this,NEUTRAL
virginamerica your airline is awesome but your lax loft needs to step up its game for dirty tables and floors httptcohyvrfhjht,NEGATIVE
virginamerica not worried its been a great ride in a new plane with great crew all airlines should be like this,POSITIVE
virginamerica awesome i flew yall sat morning any way we can correct my bill,POSITIVE
virginamerica or watch some of the best student films in the country at feet cmfatfeet httptcokekpdmgif,NEUTRAL
virginamerica first time flying you all do you have a different ratepolicy for media bags thanks,NEUTRAL
virginamerica what is going on with customer service is there anyway to speak to a human asap thank you,NEGATIVE
virginamerica what happened to doom,NEUTRAL
